"repeatmasker_name" "repeatmasker_subtype" "colors" "fam_gen_perc_RM"
"110" "Gypsy-1_DSe_pol" "LTR" "not_kmer" 0.00288111718481862
"111" "Gypsy-1_DSim_env" "LTR" "not_kmer" 0.0207665288618976
"112" "Gypsy-10_CFl_pol" "LTR" "not_kmer" 0.0428365241356573
"113" "Gypsy-10_DMoj_env" "LTR" "not_kmer" 0.0711943017710665
"114" "Gypsy-10_DTa_pol" "LTR" "not_kmer" 0.0225334574557322
"115" "Gypsy-11_AA" "LTR" "not_kmer" 0.00103733642612398
"116" "Gypsy-11_DEl_1p" "LTR" "not_kmer" 0.0982234430716246
"117" "Gypsy-11_DWil" "LTR" "not_kmer" 0.0279174717825866
"118" "Gypsy-12_DFi_pol" "LTR" "not_kmer" 0.0166930285253422
"119" "Gypsy-13_DEu_pol" "LTR" "not_kmer" 0.217107701328593
"120" "Gypsy-13_DRh_env" "LTR" "not_kmer" 0.0158875909896911
"121" "Gypsy-15_DRh_pol" "LTR" "not_kmer" 0.0149260999315076
"122" "Gypsy-15_DWil_gag" "LTR" "not_kmer" 0.0184649911037746
"123" "Gypsy-155_AA_pol" "LTR" "not_kmer" 0.0486940686136799
"124" "Gypsy-17_DBi_pol" "LTR" "not_kmer" 0.0692038642610888
"125" "Gypsy-18_DWil_pol" "LTR" "not_kmer" 0.058450266363227
"126" "Gypsy-183_AA_pol" "LTR" "not_kmer" 0.000597030573301377
"127" "Gypsy-19_DAn_pol" "LTR" "not_kmer" 0.00907090464629731
"128" "Gypsy-19_DEl_gag" "LTR" "not_kmer" 0.535473331644376
"129" "Gypsy-2_DBp_pol" "LTR" "not_kmer" 0.0168792859554615
"130" "Gypsy-2_DFi_1p" "LTR" "not_kmer" 0.216110972378224
"131" "Gypsy-2_DVir_pol" "LTR" "not_kmer" 0.053357887544073
"132" "Gypsy-22_RPr_pol" "LTR" "kmer_2" 0.923304929019307
"133" "Gypsy-22_RPr_pol" "LTR" "not_kmer" 0.70222172225433
"134" "Gypsy-23_DY" "LTR" "not_kmer" 0.0955564380316999
"135" "Gypsy-26_DAn_pol" "LTR" "not_kmer" 0.130158034563271
"136" "Gypsy-27_DWil_pol" "LTR" "not_kmer" 0.00794329209638577
"137" "Gypsy-29_DWil_env" "LTR" "not_kmer" 0.117767049275225
"138" "Gypsy-29_DWil_pol" "LTR" "not_kmer" 0.0993386384595282
"139" "Gypsy-3_Adi_pol" "LTR" "not_kmer" 2.28122596586979
"140" "Gypsy-3_AEc_1p" "LTR" "not_kmer" 0.0768706228035676
"141" "Gypsy-3_DBp_1p" "LTR" "not_kmer" 1.01929227613258
"142" "Gypsy-3_DSe_env" "LTR" "not_kmer" 0.007563394058737
"143" "Gypsy-3_DWil" "LTR" "not_kmer" 0.00292273145749392
"144" "Gypsy-3_PBa_pol" "LTR" "not_kmer" 0.17536959263218
"145" "Gypsy-30_DR_pol" "LTR" "not_kmer" 0.000259082407301103
"146" "Gypsy-34_DWil_gag" "LTR" "not_kmer" 0.0417897909382841
"147" "Gypsy-4_DVir" "LTR" "not_kmer" 0.169048250373211
"148" "Gypsy-46_MLP_1p" "LTR" "not_kmer" 0.0117144177580989
"149" "Gypsy-5_DGri_gag" "LTR" "not_kmer" 0.024718542370159
"150" "Gypsy-5_DGri_pol" "LTR" "not_kmer" 0.18955905281754
"151" "Gypsy-5_DKi" "LTR" "not_kmer" 0.0090796302196002
"152" "Gypsy-51_CGi_pol" "LTR" "not_kmer" 0.117502597284353
"153" "Gypsy-54_DWil_pol" "LTR" "not_kmer" 0.00153603650028128
"154" "Gypsy-57_DWil_gag" "LTR" "not_kmer" 0.0131061466999093
"155" "Gypsy-58_DWil" "LTR" "not_kmer" 0.04052189801758
"156" "Gypsy-63_CGi_pol" "LTR" "not_kmer" 1.48309811145369
"157" "Gypsy-7_DBp_pol" "LTR" "not_kmer" 0.0106223786993452
"158" "Gypsy-7_DPer_gag" "LTR" "not_kmer" 0.00462287585566412
"159" "Gypsy-7_DWil" "LTR" "not_kmer" 0.0203648168909916
"160" "Gypsy-8_DEl" "LTR" "not_kmer" 0.00826244671988752
"161" "Gypsy-8_DWil" "LTR" "not_kmer" 0.00872490210494052
"162" "Gypsy-8_HMM_gag" "LTR" "not_kmer" 0.0303619747032877
"163" "Gypsy-9_DAn_gag" "LTR" "not_kmer" 0.0638571014202582
"164" "Gypsy-9_DAn_pol" "LTR" "not_kmer" 0.0238130963404979
"165" "Gypsy1_DM_env" "LTR" "not_kmer" 0.0408524630061701
"166" "Gypsy1_Dya" "LTR" "not_kmer" 0.0201782238618991
"167" "Gypsy10_Dya_pol" "LTR" "kmer_2" 0.0441024034625223
"168" "Gypsy16_Dpse_pol" "LTR" "not_kmer" 0.00903063276951475
"169" "Gypsy2_Dpse" "LTR" "not_kmer" 0.0718077766940541
"170" "Gypsy24_Dpse_pol" "LTR" "not_kmer" 0.0262200121762019
"171" "Gypsy4_Dpse_pol" "LTR" "not_kmer" 0.0165822808641902
"172" "GYPSY47_AG_pol" "LTR" "not_kmer" 0.306681416465271
"173" "Gypsy48_AG_pol" "LTR" "not_kmer" 0.0633473265799857
"174" "Gypsy49_AG_pol" "LTR" "not_kmer" 0.0379706746234051
"175" "Gypsy5_Dya_pol" "LTR" "not_kmer" 0.00876114679404482
