kmer_id	Contig
kmer_263251422.0	Contig_4
kmer_498587466.0	Contig_4
kmer_522520408.0	Contig_4
kmer_391920583.0	Contig_4
kmer_81115729.0	Contig_4
kmer_191188637.0	Contig_4
kmer_439732529.0	Contig_4
kmer_232706220.0	Contig_4
kmer_99330977.0	Contig_4
kmer_14068250.0	Contig_4
kmer_20425363.0	Contig_4
kmer_64914451.0	Contig_4
kmer_149690335.0	Contig_4
kmer_351319227.0	Contig_4
kmer_267227756.0	Contig_4
kmer_62837737.0	Contig_4
kmer_143559174.0	Contig_4
kmer_336078645.0	Contig_4
kmer_325280600.0	Contig_4
kmer_262954558.0	Contig_4
kmer_166679748.0	Contig_4
kmer_308403826.0	Contig_4
kmer_93528177.0	Contig_4
kmer_219026322.0	Contig_4
kmer_427355771.0	Contig_5
kmer_298739485.0	Contig_5
kmer_105899126.0	Contig_5
kmer_149175880.0	Contig_5
kmer_412307536.0	Contig_5
kmer_404141584.0	Contig_5
kmer_55823194.0	Contig_5
kmer_123897285.0	Contig_5
kmer_287862407.0	Contig_5
kmer_24763504.0	Contig_5
kmer_53983319.0	Contig_5
kmer_33463098.0	Contig_5
kmer_279180469.0	Contig_5
kmer_329445424.0	Contig_5
kmer_140898927.0	Contig_5
kmer_411478819.0	Contig_5
kmer_396736683.0	Contig_5
kmer_517545160.0	Contig_5
kmer_468328933.0	Contig_5
kmer_208234273.0	Contig_5
kmer_88232123.0	Contig_5
kmer_17200715.0	Contig_5
kmer_17810451.0	Contig_5
kmer_84663760.0	Contig_5
kmer_200107299.0	Contig_5
kmer_149346779.0	Contig_5
kmer_463948175.0	Contig_5
kmer_374361798.0	Contig_5
kmer_316139089.0	Contig_5
kmer_206735280.0	Contig_5
kmer_421752728.0	Contig_5
kmer_355639829.0	Contig_5
kmer_397864011.0	Contig_5
kmer_525956337.0	Contig_5
kmer_472142913.0	Contig_5
kmer_518642507.0	Contig_5
kmer_260270246.0	Contig_5
kmer_324931898.0	Contig_5
kmer_504643114.0	Contig_5
kmer_333176583.0	Contig_5
kmer_308953652.0	Contig_5
kmer_169571708.0	Contig_5
kmer_398578513.0	Contig_5
kmer_395786068.0	Contig_5
kmer_511501535.0	Contig_5
kmer_466138072.0	Contig_5
kmer_206692858.0	Contig_5
kmer_87541300.0	Contig_5
kmer_407266461.0	Contig_5
kmer_173988527.0	Contig_5
kmer_74459171.0	Contig_5
kmer_32990574.0	Contig_5
kmer_242637088.0	Contig_5
kmer_507183042.0	Contig_5
kmer_261778692.0	Contig_5
kmer_111630572.0	Contig_5
kmer_61022376.0	Contig_5
kmer_138302191.0	Contig_5
kmer_323204177.0	Contig_5
kmer_147244684.0	Contig_5
kmer_412100601.0	Contig_5
kmer_404224318.0	Contig_5
kmer_57160791.0	Contig_5
kmer_126884613.0	Contig_5
kmer_295033064.0	Contig_5
kmer_75753785.0	Contig_5
kmer_177227784.0	Contig_5
kmer_199016815.0	Contig_5
kmer_167415956.0	Contig_5
kmer_334302544.0	Contig_5
